,Confirmed,ConfirmedChange,Deaths,DeathsChange,Recovered,RecoveredChange,Country,State,masks,puppy breeder
2019-05-12,,,,,,,,,7.0,0.0
2019-05-19,,,,,,,,,6.0,0.0
2019-05-26,,,,,,,,,6.0,0.0
2019-06-02,,,,,,,,,6.0,0.0
2019-06-09,,,,,,,,,6.0,0.0
2019-06-16,,,,,,,,,6.0,0.0
2019-06-23,,,,,,,,,6.0,0.0
2019-06-30,,,,,,,,,5.0,0.0
2019-07-07,,,,,,,,,6.0,0.0
2019-07-14,,,,,,,,,6.0,0.0
2019-07-21,,,,,,,,,6.0,0.0
2019-07-28,,,,,,,,,6.0,0.0
2019-08-04,,,,,,,,,6.0,0.0
2019-08-11,,,,,,,,,6.0,0.0
2019-08-18,,,,,,,,,6.0,0.0
2019-08-25,,,,,,,,,6.0,0.0
2019-09-01,,,,,,,,,6.0,0.0
2019-09-08,,,,,,,,,6.0,0.0
2019-09-15,,,,,,,,,7.0,0.0
2019-09-22,,,,,,,,,7.0,0.0
2019-09-29,,,,,,,,,7.0,0.0
2019-10-06,,,,,,,,,7.0,0.0
2019-10-13,,,,,,,,,7.0,0.0
2019-10-20,,,,,,,,,8.0,0.0
2019-10-27,,,,,,,,,9.0,0.0
2019-11-03,,,,,,,,,7.0,0.0
2019-11-10,,,,,,,,,6.0,0.0
2019-11-17,,,,,,,,,6.0,0.0
2019-11-24,,,,,,,,,6.0,0.0
2019-12-01,,,,,,,,,7.0,0.0
2019-12-08,,,,,,,,,7.0,0.0
2019-12-15,,,,,,,,,7.0,0.0
2019-12-22,,,,,,,,,6.0,0.0
2019-12-29,,,,,,,,,6.0,0.0
2020-01-05,,,,,,,,,7.0,0.0
2020-01-12,,,,,,,,,6.0,0.0
2020-01-19,,,,,,,,,9.0,0.0
2020-01-21,0.0,,,,,,United States,Ohio,,
2020-01-24,0.0,0.0,,,,,United States,Ohio,,
2020-01-25,0.0,0.0,,,,,United States,Ohio,,
2020-01-26,0.0,0.0,,,,,United States,Ohio,20.0,0.0
2020-01-30,0.0,0.0,,,,,United States,Ohio,,
2020-01-31,0.0,0.0,,,,,United States,Ohio,,
2020-02-01,0.0,0.0,,,,,United States,Ohio,,
2020-02-02,0.0,0.0,,,,,United States,Ohio,13.0,0.0
2020-02-05,0.0,0.0,,,,,United States,Ohio,,
2020-02-09,,,,,,,,,12.0,0.0
2020-02-16,,,,,,,,,10.0,0.0
2020-02-20,0.0,0.0,,,,,United States,Ohio,,
2020-02-23,,,,,,,,,30.0,0.0
2020-02-26,0.0,0.0,,,,,United States,Ohio,,
2020-02-28,0.0,0.0,,,,,United States,Ohio,,
2020-02-29,0.0,0.0,,,,,United States,Ohio,,
2020-03-01,0.0,0.0,,,,,United States,Ohio,27.0,0.0
2020-03-02,0.0,0.0,,,,,United States,Ohio,,
2020-03-03,0.0,0.0,,,,,United States,Ohio,,
2020-03-04,0.0,0.0,,,,,United States,Ohio,,
2020-03-05,0.0,0.0,,,,,United States,Ohio,,
2020-03-06,0.0,0.0,,,,,United States,Ohio,,
2020-03-07,0.0,0.0,,,,,United States,Ohio,,
2020-03-08,0.0,0.0,,,,,United States,Ohio,25.0,0.0
2020-03-09,3.0,3.0,0.0,,,,United States,Ohio,,
2020-03-10,4.0,1.0,,,,,United States,Ohio,,
2020-03-11,4.0,0.0,0.0,,,,United States,Ohio,,
2020-03-12,5.0,1.0,0.0,0.0,,,United States,Ohio,,
2020-03-13,13.0,8.0,0.0,0.0,,,United States,Ohio,,
2020-03-14,26.0,13.0,0.0,0.0,,,United States,Ohio,,
2020-03-15,37.0,11.0,0.0,0.0,,,United States,Ohio,43.0,0.0
2020-03-16,50.0,13.0,0.0,0.0,0.0,,United States,Ohio,,
2020-03-17,67.0,17.0,0.0,0.0,0.0,0.0,United States,Ohio,,
2020-03-18,88.0,21.0,0.0,0.0,0.0,0.0,United States,Ohio,,
2020-03-19,119.0,31.0,0.0,0.0,0.0,0.0,United States,Ohio,,
2020-03-20,169.0,50.0,1.0,1.0,0.0,0.0,United States,Ohio,,
2020-03-21,247.0,78.0,3.0,2.0,0.0,0.0,United States,Ohio,,
2020-03-22,351.0,104.0,3.0,0.0,0.0,0.0,United States,Ohio,54.0,0.0
2020-03-23,442.0,91.0,6.0,3.0,,,United States,Ohio,,
2020-03-24,564.0,122.0,8.0,2.0,,,United States,Ohio,,
2020-03-25,704.0,140.0,10.0,2.0,,,United States,Ohio,,
2020-03-26,867.0,163.0,15.0,5.0,,,United States,Ohio,,
2020-03-27,1137.0,270.0,19.0,4.0,,,United States,Ohio,,
2020-03-28,1406.0,269.0,25.0,6.0,,,United States,Ohio,,
2020-03-29,1653.0,247.0,29.0,4.0,,,United States,Ohio,100.0,0.0
2020-03-30,1933.0,280.0,39.0,10.0,,,United States,Ohio,,
2020-03-31,2199.0,266.0,55.0,16.0,,,United States,Ohio,,
2020-04-01,2547.0,348.0,65.0,10.0,,,United States,Ohio,,
2020-04-02,2902.0,355.0,81.0,16.0,,,United States,Ohio,,
2020-04-03,3312.0,410.0,91.0,10.0,,,United States,Ohio,,
2020-04-04,3739.0,427.0,102.0,11.0,,,United States,Ohio,,
2020-04-05,4043.0,304.0,119.0,17.0,,,United States,Ohio,87.0,0.0
2020-04-06,4450.0,407.0,142.0,23.0,,,United States,Ohio,,
2020-04-07,4782.0,332.0,167.0,25.0,,,United States,Ohio,,
2020-04-08,5148.0,366.0,193.0,26.0,,,United States,Ohio,,
2020-04-09,5512.0,364.0,213.0,20.0,,,United States,Ohio,,
2020-04-10,5878.0,366.0,231.0,18.0,,,United States,Ohio,,
2020-04-11,6250.0,372.0,247.0,16.0,,,United States,Ohio,,
2020-04-12,6604.0,354.0,253.0,6.0,,,United States,Ohio,76.0,0.0
2020-04-13,6975.0,371.0,274.0,21.0,,,United States,Ohio,,
2020-04-14,7280.0,305.0,324.0,50.0,,,United States,Ohio,,
2020-04-15,7791.0,511.0,361.0,37.0,,,United States,Ohio,,
2020-04-16,8414.0,623.0,389.0,28.0,,,United States,Ohio,,
2020-04-17,9107.0,693.0,418.0,29.0,,,United States,Ohio,,
2020-04-18,10222.0,1115.0,451.0,33.0,,,United States,Ohio,,
2020-04-19,11602.0,1380.0,471.0,20.0,,,United States,Ohio,69.0,0.0
2020-04-20,12919.0,1317.0,509.0,38.0,,,United States,Ohio,,
2020-04-21,13725.0,806.0,557.0,48.0,,,United States,Ohio,,
2020-04-22,14117.0,392.0,610.0,53.0,,,United States,Ohio,,
2020-04-23,14694.0,577.0,656.0,46.0,,,United States,Ohio,,
2020-04-24,15169.0,475.0,690.0,34.0,,,United States,Ohio,,
2020-04-25,15587.0,418.0,711.0,21.0,,,United States,Ohio,,
2020-04-26,15963.0,376.0,728.0,17.0,,,United States,Ohio,73.0,0.0
2020-04-27,16325.0,362.0,753.0,25.0,,,United States,Ohio,,
2020-04-28,16769.0,444.0,799.0,46.0,,,United States,Ohio,,
2020-04-29,17303.0,534.0,937.0,138.0,,,United States,Ohio,,
2020-04-30,18027.0,724.0,975.0,38.0,,,United States,Ohio,,
2020-05-01,18743.0,716.0,1002.0,27.0,,,United States,Ohio,,
2020-05-02,19335.0,592.0,1021.0,19.0,,,United States,Ohio,,
2020-05-03,19914.0,579.0,1038.0,17.0,,,United States,Ohio,67.0,0.0
2020-05-04,20474.0,560.0,1056.0,18.0,,,United States,Ohio,,
2020-05-05,20969.0,495.0,1135.0,79.0,,,United States,Ohio,,
2020-05-06,21576.0,607.0,1225.0,90.0,,,United States,Ohio,,
2020-05-07,22131.0,555.0,1271.0,46.0,,,United States,Ohio,,
2020-05-08,23016.0,885.0,1306.0,35.0,,,United States,Ohio,,
2020-05-09,23697.0,681.0,1331.0,25.0,,,United States,Ohio,,
2020-05-10,24081.0,384.0,1341.0,10.0,,,United States,Ohio,69.0,0.0
2020-05-11,24777.0,696.0,1357.0,16.0,,,United States,Ohio,,
2020-05-12,25250.0,473.0,1436.0,79.0,,,United States,Ohio,,
2020-05-13,25721.0,471.0,1483.0,47.0,,,United States,Ohio,,
2020-05-14,26357.0,636.0,1534.0,51.0,,,United States,Ohio,,
2020-05-15,26954.0,597.0,1581.0,47.0,,,United States,Ohio,,
2020-05-16,27474.0,520.0,1610.0,29.0,,,United States,Ohio,,
2020-05-17,27923.0,449.0,1625.0,15.0,,,United States,Ohio,,
2020-05-18,28454.0,531.0,1657.0,32.0,,,United States,Ohio,,
2020-05-19,28952.0,498.0,1720.0,63.0,,,United States,Ohio,,
2020-05-20,29436.0,484.0,1781.0,61.0,,,United States,Ohio,,
